longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.2841726,50.8257354,Sale,200000,Appartment,Flat,45647,1070,1963,,76,2,1,True,,,,Brussels,avenue marius renard,45,,,,,False,
4.3544508,50.8203664,Sale,1300000,House,House,43156,1050,1929,Excellent,250,4,3,True,40,False,On contract,Brussels,rue franz merjay,48,1,139,,,,
4.344549,50.8516921,Sale,345000,Appartment,Flat,30847,1000,,Normal,96,1,1,,,False,Negotiable,Brussels,antoine dansaertstraat,113,,,,,,
4.3719368,50.8203122,Sale,450000,Appartment,Flat,27241,1000,,Normal,120,2,2,True,5,False,On contract,Brussels,rue de belle-vue,36,,,,,,
4.308187,50.8365808,Sale,179000,Appartment,Flat,40405,1070,,Fully renovated,60,2,1,False,1,False,On contract,Brussels,,,,,,,,
4.43382,50.83227,Sale,1395000,House,Villa,48202,1150,1899,New,180,3,1,,,,Immediately,Brussels,bovenberg,122,,,,183,,
4.3213266,50.8690254,Sale,750000,House,MixedBuilding,40940,1083,1933,To renovate,282,5,3,False,10,False,On contract,Brussels,avenue jacques sermon,52,,150,,50,,
4.3333333,50.8,Sale,595000,Appartment,Flat,39602,1180,,,144,2,2,,30,,,Brussels,,,1,,,,,
4.3926085,50.8037413,Sale,495000,Appartment,Flat,47577,1050,1974,Normal,113,2,1,True,25,False,,Brussels,avenue d'italie,32,1,,,,,
4.3841357,50.8776808,Sale,215000,Appartment,Flat,45858,1030,,Normal,75,1,1,False,,,,Brussels,avenue colonel picquart,66,,,,,,
4.4387447,50.818351,Sale,1995000,House,House,43156,1160,1962,Normal,452,5,3,False,21,False,On contract,Brussels,avenue cardinal micara,56,,1250,89186,700,,
4.3766927,50.8235717,Sale,1300000,Appartment,Penthouse,49069,1050,1929,Excellent,278,4,,True,24,,Immediately,Brussels,,,1,,,,,
4.399615,50.874464,Sale,495000,House,House,40956,1140,,Normal,190,3,1,False,12,False,Immediately,Brussels,,,,,,30,False,
4.3889399,50.8078925,Sale,245000,Appartment,FlatStudio,43156,1050,1957,Normal,68,0,1,True,3,False,On contract,Brussels,avenue george bergmann,120,,,,,,
4.3193694,50.8569755,Sale,179000,Appartment,Flat,40405,1080,,Fully renovated,60,2,1,False,1,False,On contract,Brussels,,,,,,,,
4.3719368,50.8203122,Sale,450000,Appartment,Flat,27241,1050,,Normal,120,2,2,True,5,False,On contract,Brussels,rue de belle-vue,36,,,,,,
4.3402184,50.8301436,Sale,425000,Appartment,Flat,46478,1060,1953,To be renovated,105,2,1,True,3,False,,Brussels,,,1,,,,,
4.3333333,50.8,Sale,1230000,House,Villa,49240,1180,1952,Excellent,203,4,2,False,30,False,On contract,Brussels,,,1,330,,200,,
4.36818329,50.86398705,Sale,395000,Appartment,GroundFloor,27443,1030,1881,Normal,157,3,1,False,,False,,Brussels,rue vandeweyer,26,,,,102,,
4.3166667,50.8,Sale,549000,Appartment,Loft,49240,1190,2006,Excellent,180,2,1,False,,False,On contract,Brussels,,,,,,,,
4.3469919,50.8498196,Sale,333000,Appartment,Flat,42988,1000,1965,Normal,83,1,1,True,,False,On contract,Brussels,antoine dansaertstraat,63,,,,,,
4.3547929,50.7943377,Sale,349000,Appartment,Flat,27497,1180,1976,To be renovated,95,2,1,True,8,False,On contract,Brussels,avenue den doorn,1,1,,,,,
4.3381538,50.8598988,Sale,595000,Appartment,Loft,27214,1000,1950,Excellent,257,2,1,False,25,True,On contract,Brussels,rue jennart,27,,,,,,
4.3227894,50.8808582,Sale,420000,House,House,43761,1090,1960,To be renovated,250,4,1,False,10,False,On contract,Brussels,,,,,,80,,
4.3333333,50.8,Sale,565000,House,House,48985,1180,1940,Normal,155,3,1,,,,On contract,Brussels,,,,,,,,
4.308187,50.8365808,Sale,350000,Appartment,Penthouse,45859,1070,2004,Excellent,100,2,1,True,87,False,On contract,Brussels,,,2,,21332,,False,
4.3606731,50.8622566,Sale,119000,Appartment,FlatStudio,27760,1030,1977,To renovate,36,0,1,True,5,False,On contract,Brussels,rue du progrès,187,,,5419,,,
4.4089812,50.8484495,Sale,520000,Appartment,Flat,31820,1030,,Excellent,126,2,2,,,False,,Brussels,avenue herbert hoover,119,1,,,,,
4.423892,50.842365,Sale,795000,House,House,29033,1200,1938,Excellent,296,5,2,False,10,False,,Brussels,,,1,160,61446,40,,
4.347254,50.8472572,Sale,189000,Appartment,Flat,27497,1000,,Normal,40,1,1,False,,False,On contract,Brussels,rue saint-géry,25,,,,,,
4.425082,50.817175,Sale,650000,House,House,49238,1160,1953,Normal,134,3,1,False,,False,On contract,Brussels,,,1,215,,,,
4.3369177,50.824964,Sale,179000,Appartment,Flat,42988,1190,1934,To be renovated,61,1,1,False,,False,,Brussels,avenue du parc,149,,,19025,,,
4.3766927,50.8235717,Sale,1490000,Appartment,Flat,43065,1050,,Excellent,360,,,True,35,,Immediately,Brussels,,,,,,,,
4.3760027,50.8758759,Sale,390000,Appartment,GroundFloor,40405,1030,,New,70,2,1,,,,On contract,Brussels,avenue monplaisir,33,,,,,,
4.3423727,50.8649729,Sale,329000,Appartment,Flat,46371,1000,2015,Normal,84,2,1,True,,,,Brussels,rue picard,15,,,,,,
4.3333333,50.8,Sale,2350000,House,Villa,43156,1180,1960,To be renovated,500,7,3,False,25,False,,Brussels,,,2,3232,,2500,,
4.3684722,50.8637004,Sale,560000,House,House,44711,1030,1850,Normal,265,6,2,False,,False,On contract,Brussels,rue vandeweyer,39,,133,72559,,,
4.3994553,50.8278949,Sale,485000,Appartment,Flat,46535,1040,,Normal,110,2,1,False,,False,,Brussels,boulevard louis schmidt,10,,,,,,
4.3193694,50.8569755,Sale,350000,Appartment,Penthouse,45859,1080,2004,Excellent,100,2,1,True,87,False,On contract,Brussels,,,2,,21332,,False,
4.3515499,50.8427501,Sale,890000,Appartment,Flat,49240,1000,1961,Excellent,240,4,2,True,,False,On contract,Brussels,,,,,,,,
4.4019951,50.8134322,Sale,350000,Appartment,Flat,45179,1170,1980,Excellent,81,2,1,True,,False,On contract,Brussels,avenue du martin-pêcheur,58,1,,31038,,,
4.35863115,50.79035065,Sale,139000,Appartment,Flat,43710,1180,1992,To be renovated,47,1,1,False,16,False,,Brussels,avenue dolez,48,,,,70,,
4.399615,50.874464,Sale,300000,Appartment,Duplex,40956,1140,,Excellent,99,2,1,False,18,False,Immediately,Brussels,,,,,,,False,
4.423892,50.842365,Sale,865000,House,House,27466,1200,1984,To renovate,227,5,2,False,20,,On contract,Brussels,,,,594,70533,300,,
4.369695,50.82555,Sale,875000,Appartment,Flat,38513,1050,,To be renovated,250,2,1,False,12,False,,Brussels,chaussée de vleurgat,70,,,,40,,
4.356264,50.8145845,Sale,650000,Appartment,Flat,43156,1180,2001,Normal,124,3,2,True,34,False,,Brussels,rue joseph stallaert,34,,,,60,,
4.414715,50.800919,Sale,675000,House,House,28161,1170,,,150,3,3,,,,,Brussels,,,,280,,224,,
4.3968536,50.8483697,Sale,380000,Appartment,Flat,43156,1030,1934,Normal,115,2,1,True,,False,Immediately,Brussels,avenue de l'opale,49,,,,,,
4.4058054,50.8453946,Sale,410000,Appartment,Flat,27466,1200,1933,Normal,122,2,1,True,5,False,On contract,Brussels,avenue général lartigue,115,,,44511,,,
4.3333333,50.8,Sale,340000,Appartment,Flat,28161,1180,,,100,2,1,,,,,Brussels,,,,,,,,
4.3270521,50.8587362,Sale,399000,House,House,40405,1081,,Normal,140,4,1,False,18,,,Brussels,rue du neep,26,,,,18,,
4.3928394,50.8750981,Sale,135000,Appartment,Flat,27497,1030,1931,To be renovated,47,1,1,False,,False,,Brussels,rue guido gezelle,65,,,,,,
4.3412755,50.8881986,Sale,182000,Appartment,Flat,27484,1020,1964,Normal,58,1,1,True,,False,On contract,Brussels,rue stevens-delannoy,48,,,37246,,,
4.37727,50.86744,Sale,330000,House,House,29033,1030,,To be renovated,233,4,2,False,11,False,On contract,Brussels,,,,,,61,,
4.4295851,50.848324,Sale,515000,Appartment,Flat,45717,1200,2016,Normal,101,2,2,,8,False,Immediately,Brussels,vervloesemstraat,152,,,,,,
4.3227894,50.8808582,Sale,300000,Appartment,Flat,40956,1090,,Normal,107,3,,True,,False,Immediately,Brussels,,,,,,,True,
4.414715,50.800919,Sale,1150000,House,House,28161,1170,,,230,4,3,,,,,Brussels,,,3,410,,,,
4.3026467,50.8238624,Sale,360000,House,House,40224,1070,1945,To renovate,150,2,1,False,,False,,Brussels,rue walcourt,143,1,166,79201,,,
4.4329851,50.8381484,Sale,1100000,House,House,43156,1150,1924,Excellent,,4,2,False,,False,,Brussels,,,1,180,62063,65,,
4.4172636,50.8611276,Sale,360000,Appartment,Flat,43169,1140,,New,82,2,1,,,,,Brussels,rue des deux maisons saphir,20,,,,,,
4.3444454,50.8486012,Sale,568000,Appartment,Flat,43156,1000,,New,108,3,1,True,13,False,,Brussels,rue des chartreux,45,1,,,,,
4.4172636,50.8611276,Sale,305000,Appartment,Flat,43169,1140,,New,72,1,1,,,,,Brussels,rue des deux maisons saphir,20,,,,,,
4.429498,50.8391829,Sale,795000,House,House,43156,1150,1968,Normal,215,4,3,False,20,False,On contract,Brussels,rue de la cambre,17,1,203,131212,100,,
4.3444454,50.8486012,Sale,443000,Appartment,Flat,43156,1000,,New,80,2,1,True,14,False,,Brussels,rue des chartreux,45,1,,,,,
4.3766927,50.8235717,Sale,2700000,Appartment,Flat,43065,1050,,Excellent,329,,,True,26,,Immediately,Brussels,,,,,,,,True
4.3727832,50.890858,Sale,570000,House,House,28427,1020,,,263,6,1,,25,,,Brussels,av. de la reine des prés,16,1,209,,100,,
4.3114635,50.8635353,Sale,140000,Appartment,FlatStudio,45529,1082,1968,To be renovated,63,0,1,True,,,On contract,Brussels,avenue edouard bénès,193,1,,,,,
4.30253,50.87113,Sale,299000,Appartment,Flat,27214,1083,1971,To renovate,110,3,2,True,16,False,On contract,Brussels,,,1,,41264,,,
4.4172636,50.8611276,Sale,315000,Appartment,Flat,43169,1140,,New,72,1,1,,,,,Brussels,rue des deux maisons saphir,20,,,,,,
4.423892,50.842365,Sale,190000,Appartment,Flat,39429,1200,1970,,55,1,,True,,False,,Brussels,,,,,,,,
4.3402648,50.8338502,Sale,248000,Appartment,GroundFloor,48204,1060,1999,Normal,65,1,1,True,9,False,,Brussels,rue de hollande,61,,,19541,,,
4.4494347,50.8286387,Sale,595000,House,House,27612,1150,1960,Normal,140,4,2,False,20,False,On contract,Brussels,val des epinettes,24,,171,,55,,
4.3193694,50.8569755,Sale,250000,Appartment,Flat,43156,1080,1980,To renovate,90,2,1,True,5,False,On contract,Brussels,,,,,,,,
4.3061145,50.850995,Sale,275000,Appartment,Flat,46519,1080,1967,Normal,100,3,1,True,20,False,,Brussels,boulevard edmond machtens,121,1,,,,True,
4.4172636,50.8611276,Sale,460000,Appartment,Flat,43169,1140,,New,123,2,1,,,,,Brussels,rue des deux maisons saphir,22,,,,,,
4.4172636,50.8611276,Sale,390000,Appartment,Flat,43169,1140,,New,101,2,1,,,,,Brussels,rue des deux maisons saphir,20,,,,,,
4.3444454,50.8486012,Sale,326500,Appartment,Flat,43156,1000,,New,61,1,1,True,7,False,,Brussels,rue des chartreux,45,1,,,,,
4.3515499,50.8427501,Sale,190000,Appartment,FlatStudio,40956,1000,,Excellent,34,1,,False,5,False,Immediately,Brussels,,,,,,,False,
4.3206026,50.8932097,Sale,195000,Appartment,Flat,40940,1090,1973,Normal,74,2,1,True,14,False,On contract,Brussels,avenue de l'arbre ballon,32,,,,,,
4.4408888,50.8515792,Sale,1449000,Appartment,Penthouse,43156,1200,,New,250,3,2,True,35,False,,Brussels,rue neerveld,101,,,,,,
4.36903,50.78841,Sale,1690000,Appartment,Flat,43065,1180,2013,Excellent,263,,,True,20,,Immediately,Brussels,vallon d'ohain,23,,,,,,
4.3333333,50.8,Sale,315000,Appartment,GroundFloor,40594,1180,1955,To be renovated,99,2,1,False,,False,On contract,Brussels,,,,,,,,
4.37489264,50.8616967,Sale,325000,Appartment,Flat,27443,1030,,Normal,122,2,2,False,,False,,Brussels,rue de l'est,53,,,,60,,
4.3180548,50.8582739,Sale,199000,Appartment,Flat,46371,1080,1937,Normal,75,1,1,False,,False,,Brussels,karreveld,8,,,,,,
4.34184,50.82556,Sale,295000,Appartment,Flat,39723,1060,,To be renovated,110,2,2,,,,Immediately,Brussels,rue jean robie,51,,,,,True,
4.4172636,50.8611276,Sale,395000,Appartment,Flat,43169,1140,,New,101,2,2,,,,,Brussels,rue des deux maisons saphir,22,,,,30,,
4.4172636,50.8611276,Sale,305000,Appartment,Flat,43169,1140,,New,67,1,1,,,,,Brussels,rue des deux maisons saphir,24,,,,135,,
4.4091507,50.8395119,Sale,235000,Appartment,Flat,45996,1200,1970,Excellent,60,1,1,True,,False,,Brussels,avenue de woluwe-saint-lambert,71,,,14740,1400,,
4.3754752,50.8483698,Sale,1250000,House,MixedBuilding,38398,1210,,Normal,160,5,5,False,,True,,Brussels,rue de spa,90,,,,,,
4.295748,50.865341,Sale,649000,House,House,27466,1082,1988,Excellent,280,4,2,False,24,False,On contract,Brussels,,,2,297,24583,170,,
4.3756097,50.8513323,Sale,349000,House,MixedBuilding,33417,1210,,To be renovated,205,4,2,False,,False,On contract,Brussels,rue de liedekerke,74,,125,,,,
4.3333333,50.8,Sale,120000,Appartment,FlatStudio,40594,1180,1955,To be renovated,30,1,1,False,,False,On contract,Brussels,,,,,,,,
4.32481,50.86822,Sale,549000,House,House,46442,1090,1920,Normal,293,7,2,,15,,Immediately,Brussels,rue vanderborght,94,,,,98,,
4.30787,50.83271,Sale,190000,Appartment,Flat,39723,1070,,To be renovated,82,1,1,,,,Negotiable,Brussels,rue victor rauter,184,,,,,,
4.3444755,50.8313423,Sale,395000,Appartment,Flat,0,1060,1911,Excellent,100,1,,,15,,,Brussels,chaussee de waterloo,31,,,,,,
4.4172636,50.8611276,Sale,299000,Appartment,Flat,43169,1140,2025,New,78,1,1,,,,,Brussels,rue des deux maisons saphir,20,,,,,,
4.34184,50.82556,Sale,255000,Appartment,Flat,39723,1060,,To be renovated,75,1,1,,,,Immediately,Brussels,rue jean robie,51,,,,,True,
4.35384,50.84797,Sale,325900,Appartment,Flat,46442,1000,1921,New,97,1,1,,,,Immediately,Brussels,petite rue des bouchers,33,,,,,,
4.3968419,50.8588188,Sale,260000,Appartment,GroundFloor,43160,1030,1957,Normal,99,2,1,True,8,False,On contract,Brussels,boulevard général wahis,32,,,30986,,,
4.392556,50.8133749,Sale,449000,Appartment,Flat,43162,1050,,,80,2,1,,13,,,Brussels,rue volta,6,,,,,,
4.3562723,50.8555583,Sale,298485,Appartment,Flat,44760,1000,2007,Normal,101,2,1,True,,False,,Brussels,rue saint-pierre,63,,,,,,
4.3333333,50.8,Sale,1690000,Appartment,Flat,27209,1180,2013,Excellent,263,3,3,True,20,False,Immediately,Brussels,,,,,27388,,,
4.3766927,50.8235717,Sale,875000,Appartment,Triplex,40725,1050,1974,New,185,3,3,False,13,False,Immediately,Brussels,,,,,,,,
4.3332023,50.8621347,Sale,129000,Appartment,Flat,46373,1081,1923,To be renovated,70,2,1,False,3,False,,Brussels,boulevard leopold ii,242,,,73255,,,
4.34811,50.87551,Sale,730000,House,House,42603,1020,1939,Normal,242,4,1,False,,False,On contract,Brussels,,,1,176,,60,,
4.3468398,50.811309,Sale,199000,Appartment,GroundFloor,39815,1180,1954,Normal,35,1,,True,2,False,Negotiable,Brussels,avenue brugmann,298,,,,,,
4.3766927,50.8235717,Sale,850000,House,MixedBuilding,29033,1050,1930,Fully renovated,280,5,2,False,15,False,On contract,Brussels,,,,290,21033,77,,
4.3778079,50.8668558,Sale,370000,House,MixedBuilding,27612,1030,,To be renovated,189,4,2,False,,False,On contract,Brussels,rue de jérusalem,20,,162,,,,
4.4172194,50.8599241,Sale,449000,Appartment,Flat,42869,1140,2025,New,113,3,2,True,,,,Brussels,chaussée de louvain,885,,,,72,,
4.2828964,50.8301403,Sale,229000,Appartment,Flat,43710,1070,1972,,100,2,1,True,16,False,,Brussels,avenue jean sibélius,16,,,,,,
4.4108634,50.8176921,Sale,449000,House,House,44165,1160,1930,To be renovated,162,4,1,False,,False,On contract,Brussels,rue maurice charlent,11,,,164969,56,,
4.4593191,50.8266546,Sale,365000,Appartment,Flat,46535,1150,1956,Normal,76,2,1,False,8,False,,Brussels,avenue van der meerschen,57,,,,32,,
4.3515499,50.8427501,Sale,585000,Appartment,Flat,27214,1000,1951,Excellent,113,2,1,True,2,False,On contract,Brussels,,,,,22317,,,
4.3889255,50.828948,Sale,990000,House,House,27241,1040,1912,Normal,435,6,3,False,10,False,On contract,Brussels,rue beckers,13,,225,,60,,
4.3939913,50.804052,Sale,410000,Appartment,Flat,43155,1050,1975,Excellent,130,2,1,True,27,False,,Brussels,chaussée de boitsfort,15,,,,,,
4.3683407,50.8042714,Sale,460000,Appartment,Penthouse,43160,1180,1975,Normal,141,2,2,True,85,False,On contract,Brussels,avenue de fré,269,,,,,,
4.423892,50.842365,Sale,620000,House,House,45858,1200,1950,To be renovated,220,4,1,False,9,False,On contract,Brussels,,,1,141,63051,36,False,
4.29432,50.82538,Sale,380000,House,House,30556,1070,,Normal,175,3,2,False,,False,Immediately,Brussels,florimond de pauwstraat,46,,,,,False,
4.4173167,50.8599357,Sale,449000,Appartment,GroundFloor,43156,1140,2025,New,113,3,2,True,15,False,,Brussels,chaussée de louvain,887,1,,,57,,
4.3549784,50.898591,Sale,319000,Appartment,Flat,40940,1020,1966,Normal,90,4,1,True,10,False,,Brussels,avenue du forum,5,,,,,,
4.4164405,50.8499751,Sale,575000,Appartment,Penthouse,27466,1200,1968,Normal,141,2,2,True,24,False,On contract,Brussels,avenue heydenberg,103,1,,89161,,True,
4.3193694,50.8569755,Sale,259000,Appartment,Flat,47636,1080,,,96,2,,True,,,On contract,Brussels,,,,,25429,,,
4.295748,50.865341,Sale,259000,Appartment,Flat,47636,1082,,,96,2,,True,,,On contract,Brussels,,,,,25429,,,
4.39835561,50.8484872,Sale,325000,Appartment,Flat,27443,1030,,Normal,93,2,1,True,,False,,Brussels,avenue adolphe lacomblé,74,,,,,,
4.3931186,50.8957934,Sale,235000,Appartment,Flat,47577,1120,1969,Normal,86,2,1,True,11,False,,Brussels,croix de guerre,363,,,,,True,
4.324286,50.8499537,Sale,495000,House,House,40373,1080,1915,To be renovated,162,4,1,False,,,,Brussels,rue edmond bonehill,127,,130,,,,
4.4186966,50.8484525,Sale,329000,Appartment,Flat,46622,1200,1953,Normal,72,1,1,False,2,,,Brussels,avenue de mai,123,,,,,,
4.399615,50.874464,Sale,325000,Appartment,Flat,40956,1140,,Normal,86,2,,True,15,False,Immediately,Brussels,,,1,,,,False,
4.3785684,50.8576783,Sale,399000,Appartment,Flat,40405,1030,1956,Normal,120,3,1,True,7,False,Immediately,Brussels,avenue paul deschanel,148,,,19155,,,
4.3766927,50.8235717,Sale,350000,Appartment,Flat,39602,1050,,,70,1,1,,,,,Brussels,,,,,,,,
4.35986,50.83608,Sale,890000,Appartment,Flat,43065,1050,1890,Excellent,,3,2,,,,Immediately,Brussels,rue des chevaliers,22,,,,,,
4.3987892,50.8389106,Sale,945000,Appartment,Penthouse,33355,1040,1912,New,198,3,1,True,18,False,,Brussels,avenue de tervueren,13,,,,,True,
4.3766927,50.8235717,Sale,979000,Appartment,Flat,48202,1050,2014,Excellent,176,3,2,True,,,From 02/09/2026,Brussels,,,,,,,,
4.30136,50.8747904,Sale,426755,Appartment,Flat,43156,1083,2026,New,116,3,1,True,9,False,,Brussels,avenue jean sebastien bach ganshoren,,1,,,,,
4.4364801,50.856596,Sale,510000,Appartment,Flat,27466,1200,2005,Normal,130,2,2,True,,False,On contract,Brussels,avenue marcel thiry,80,1,,13989,,,
4.3504292,50.8745135,Sale,220000,Appartment,Flat,40224,1020,1961,Normal,70,1,1,True,7,False,On contract,Brussels,rue françois lesnino,2,,,18614,,,
4.30136,50.8747904,Sale,391515,Appartment,Flat,43156,1083,2026,New,106,2,1,True,14,False,,Brussels,avenue jean sebastien bach ganshoren,,1,,,,,
4.3108726,50.8396365,Sale,215000,Appartment,Flat,38610,1070,1960,Normal,83,2,1,False,15,False,,Brussels,rue de la verite,47,,,14215,,,
4.3346812,50.7946297,Sale,250000,House,House,46535,1180,1640,To be renovated,173,2,,False,,False,Immediately,Brussels,chaussée d'alsemberg,914,,115,,54,,
4.30136,50.8747904,Sale,520795,Appartment,Duplex,43156,1083,2026,New,161,4,2,True,14,False,,Brussels,avenue jean sebastien bach ganshoren,,1,,,,,
4.365177,50.77437,Sale,1595000,House,Villa,38513,1180,1974,Normal,,6,5,False,,False,,Brussels,avenue blücher,207,1,1178,,700,,
4.3239236,50.894096,Sale,235000,Appartment,Flat,28427,1020,,,90,3,1,,16,,,Brussels,avenue arbre ballon,22,,,,,,
4.3398431,50.7935695,Sale,1050000,House,Villa,27620,1180,,Excellent,140,3,2,,,,On contract,Brussels,dieweg,63,,521,,,,
4.3333333,50.8,Sale,3300000,House,House,48985,1180,,Normal,830,6,4,,,,Negotiable,Brussels,,,2,1110,,,,
4.3166667,50.8,Sale,295000,Appartment,Flat,49069,1190,1964,To be renovated,106,2,1,True,6,,Immediately,Brussels,,,,,,,,
4.3928394,50.8750981,Sale,115000,Appartment,Flat,27497,1030,1931,To be renovated,,1,1,False,,False,,Brussels,rue guido gezelle,65,,,,,,
4.30136,50.8747904,Sale,400732,Appartment,Flat,43156,1083,2026,New,108,2,1,True,14,False,,Brussels,avenue jean sebastien bach ganshoren,,1,,,,,
4.3454694,50.8340535,Sale,249000,House,House,42988,1000,1910,Normal,93,2,1,True,,,On contract,Brussels,rue haute,334,,185,,15,,
4.3868242,50.8134026,Sale,570000,Appartment,Flat,40282,1050,1968,,1521,2,1,True,16,False,,Brussels,avenue armand huysmans,70,1,,,,,
4.3333333,50.8,Sale,685000,House,House,40594,1180,2026,New,160,3,2,False,12,False,On contract,Brussels,,,,362,,285,,
4.4473097,50.8335743,Sale,860000,House,House,46535,1150,,Excellent,180,4,3,False,,,,Brussels,avenue grandchamp,6,,240,,,,
4.3333333,50.8,Sale,275000,Appartment,Flat,40594,1180,1967,To be renovated,85,2,1,True,15,False,On contract,Brussels,,,,,,,,
